exercise_id,name,aliases,canonical_family,exercise_class,metric_recipe,primary_modality,equipment,body_position,movement_pattern,force_type,laterality,uses_bodyweight,load_type,main_muscle_groups,secondary_muscle_groups,joints_emphasized,skill_tags,context_tags,is_hold,is_cardio,supports_live_tracking,default_summary_format,search_text,notes
barbell-incline-bench-press,Barbell Incline Bench Press,incline barbell bench|incline bench press|incline bb bench press|Incline Barbell Bench Press,bench-press,bilateral-load,load+reps+rpe,hypertrophy,barbell|bench|rack|incline-bench,incline,horizontal-push,dynamic,bilateral,false,external,upper chest|front delts|triceps,pecs|serratus,shoulder|elbow|scapula,upper-chest|compound,gym|bench-area|free-weights,false,false,true,load_x_reps_rpe,barbell incline bench press incline barbell bench incline bench press incline bb bench press incline barbell bench press bench-press barbell bench rack incline-bench upper chest front delts triceps pecs serratus shoulder elbow scapula upper-chest compound gym bench-area free-weights,
close-grip-bench-press,Close-Grip Bench Press,close grip bench|CGBP|cg bench|close grip bench press,bench-press,bilateral-load,load+reps+rpe,strength,barbell|bench|rack|flat-bench,lying-supine,horizontal-push|elbow-extension,dynamic,bilateral,false,external,triceps|pecs,front delts|serratus,elbow|shoulder|scapula,triceps-focus|powerlifting-assistance,gym|bench-area|free-weights,false,false,true,load_x_reps_rpe,close-grip bench press close grip bench cgbp cg bench close grip bench press bench-press barbell bench rack flat-bench triceps pecs front delts serratus elbow shoulder scapula triceps-focus powerlifting-assistance gym bench-area free-weights,
standing-barbell-overhead-press,Standing Barbell Overhead Press,overhead press|strict press|military press|OHP|Barbell Overhead Press,overhead-press,bilateral-load,load+reps+rpe,strength,barbell|rack,standing,vertical-push,dynamic,bilateral,false,external,front delts|triceps,upper chest|lateral delts|core,shoulder|elbow|scapula|spine,compound|overhead,gym|rack|free-weights,false,false,true,load_x_reps_rpe,standing barbell overhead press overhead press strict press military press ohp barbell overhead press overhead-press barbell rack front delts triceps upper chest lateral delts core shoulder elbow scapula spine compound overhead gym rack free-weights,
barbell-push-press,Barbell Push Press,push press|Barbell Push Press,overhead-press,bilateral-load,load+reps+rpe,strength,barbell|rack,standing,vertical-push,mixed,bilateral,false,external,front delts|triceps|quads,glute max|core|upper chest,shoulder|elbow|hip|knee|ankle,explosive|overhead|olympic-lifting|power,gym|olympic-lifting|free-weights,false,false,true,load_x_reps_rpe,barbell push press push press barbell push press overhead-press barbell rack front delts triceps quads glute max core upper chest shoulder elbow hip knee ankle explosive overhead olympic-lifting power gym olympic-lifting free-weights,
barbell-bent-over-row,Barbell Bent-Over Row,bent over row|barbell row|bent over barbell row|Barbell Bent-Over Row,row,bilateral-load,load+reps+rpe,strength,barbell|plates,standing,horizontal-pull,dynamic,bilateral,false,external,lats|mid back|rear delts,biceps|spinal erectors|forearms,shoulder|elbow|scapula|spine,compound,gym|free-weights,false,false,true,load_x_reps_rpe,barbell bent-over row bent over row barbell row bent over barbell row barbell bent-over row row barbell plates lats mid back rear delts biceps spinal erectors forearms shoulder elbow scapula spine compound gym free-weights,
pendlay-row,Pendlay Row,dead stop row|pendlay row,row,bilateral-load,load+reps+rpe,strength,barbell|plates,standing,horizontal-pull,dynamic,bilateral,false,external,mid back|lats|rear delts,biceps|forearms|spinal erectors,shoulder|elbow|scapula|spine,power-row|power|from-floor,gym|platform|free-weights|niche,false,false,true,load_x_reps_rpe,pendlay row dead stop row pendlay row row barbell plates mid back lats rear delts biceps forearms spinal erectors shoulder elbow scapula spine power-row power from-floor gym platform free-weights niche,
barbell-shrug,Barbell Shrug,shrug|Barbell Shrug,shrug,bilateral-load,load+reps+rpe,hypertrophy,barbell|plates,standing,shrug,dynamic,bilateral,false,external,upper traps,forearms|levator scapulae,scapula|shoulder,trap-focus|grip,gym|free-weights,false,false,true,load_x_reps_rpe,barbell shrug shrug barbell shrug shrug barbell plates upper traps forearms levator scapulae scapula shoulder trap-focus grip gym free-weights,
barbell-curl,Barbell Curl,standing barbell curl|bb curl|Barbell Curl,curl,bilateral-load,load+reps+rpe,hypertrophy,barbell|ez-bar,standing,elbow-flexion,dynamic,bilateral,false,external,biceps|brachialis,forearms,elbow|wrist,arm-isolation,gym|free-weights,false,false,true,load_x_reps_rpe,barbell curl standing barbell curl bb curl barbell curl curl barbell ez-bar biceps brachialis forearms elbow wrist arm-isolation gym free-weights,
lying-barbell-triceps-extension,Lying Barbell Triceps Extension,skull crusher|lying triceps extension|ez bar skull crusher|Barbell Skull Crusher,triceps-extension,bilateral-load,load+reps+rpe,hypertrophy,barbell|ez-bar|bench|flat-bench,lying-supine,elbow-extension,dynamic,bilateral,false,external,triceps,front delts,elbow|shoulder,arm-isolation,gym|bench-area|free-weights,false,false,true,load_x_reps_rpe,lying barbell triceps extension skull crusher lying triceps extension ez bar skull crusher barbell skull crusher triceps-extension barbell ez-bar bench flat-bench triceps front delts elbow shoulder arm-isolation gym bench-area free-weights,
barbell-reverse-lunge,Barbell Reverse Lunge,reverse lunge,lunge,bilateral-load,load+reps+rpe,strength,barbell|rack,standing,squat|locomotion,dynamic,unilateral,false,external,quads|glute max|adductors,hamstrings|glute med|core,hip|knee|ankle,single-leg,gym|rack,false,false,true,load_x_reps_rpe,barbell reverse lunge reverse lunge lunge barbell rack quads glute max adductors hamstrings glute med core hip knee ankle single-leg gym rack,
barbell-walking-lunge,Barbell Walking Lunge,walking lunge|bodyweight walking lunge,lunge,bilateral-load,load+reps+rpe,conditioning,barbell|rack|none,standing,squat|locomotion,dynamic,alternating,false,external,quads|glute max|adductors,hamstrings|core|glute med,hip|knee|ankle,single-leg|unilateral,gym|rack|home,false,false,true,load_x_reps_rpe,barbell walking lunge walking lunge bodyweight walking lunge lunge barbell rack none quads glute max adductors hamstrings core glute med hip knee ankle single-leg unilateral gym rack home,
barbell-bulgarian-split-squat,Barbell Bulgarian Split Squat,rear foot elevated split squat|RFESS,split-squat,bilateral-load,load+reps+rpe,strength,barbell|bench|rack,standing,squat,dynamic,unilateral,false,external,quads|glute max|adductors,hamstrings|glute med|core,hip|knee|ankle,single-leg,gym|rack,false,false,true,load_x_reps_rpe,barbell bulgarian split squat rear foot elevated split squat rfess split-squat barbell bench rack quads glute max adductors hamstrings glute med core hip knee ankle single-leg gym rack,
landmine-press,Landmine Press,two hand landmine press|landmine shoulder press|standing landmine press|Landmine Press,landmine-press,bilateral-load,load+reps+rpe,strength,barbell|landmine,standing,vertical-push|diagonal-push,dynamic,bilateral,false,external,front delts|upper chest|triceps,serratus|core,shoulder|elbow|scapula,overhead-friendly|landmine|overhead|joint-friendly,gym|landmine|free-weights,false,false,true,load_x_reps_rpe,landmine press two hand landmine press landmine shoulder press standing landmine press landmine press landmine-press barbell landmine front delts upper chest triceps serratus core shoulder elbow scapula overhead-friendly landmine overhead joint-friendly gym landmine free-weights,
landmine-reverse-lunge,Landmine Reverse Lunge,landmine split squat reverse lunge,lunge,bilateral-load,load+reps+rpe,strength,barbell|landmine,standing,squat|locomotion,dynamic,unilateral,false,external,quads|glute max|adductors,glute med|core|hamstrings,hip|knee|ankle,single-leg|front-loaded,gym|landmine,false,false,true,load_x_reps_rpe,landmine reverse lunge landmine split squat reverse lunge lunge barbell landmine quads glute max adductors glute med core hamstrings hip knee ankle single-leg front-loaded gym landmine,
trap-bar-deadlift,Trap Bar Deadlift,hex bar deadlift,deadlift,bilateral-load,load+reps+rpe,strength,trap-bar|plates,standing,hinge,dynamic,bilateral,false,external,quads|glute max|hamstrings,spinal erectors|traps|forearms,hip|knee|spine,compound|strength,gym|platform,false,false,true,load_x_reps_rpe,trap bar deadlift hex bar deadlift deadlift trap-bar plates quads glute max hamstrings spinal erectors traps forearms hip knee spine compound strength gym platform,
dumbbell-flat-bench-press,Dumbbell Flat Bench Press,flat dumbbell press|db bench press|Dumbbell Bench Press,bench-press,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell|bench|flat-bench,lying-supine,horizontal-push,dynamic,bilateral,false,external,pecs|triceps|front delts,serratus|stabilizers,shoulder|elbow|scapula,dumbbell|compound,gym|bench-area|free-weights|home,false,false,true,load_x_reps_rpe,dumbbell flat bench press flat dumbbell press db bench press dumbbell bench press bench-press dumbbell bench flat-bench pecs triceps front delts serratus stabilizers shoulder elbow scapula dumbbell compound gym bench-area free-weights home,
dumbbell-incline-bench-press,Dumbbell Incline Bench Press,incline db press|incline dumbbell press|incline db bench press|Incline Dumbbell Bench Press,bench-press,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell|bench|incline-bench,incline,horizontal-push,dynamic,bilateral,false,external,upper chest|front delts|triceps,pecs|serratus,shoulder|elbow|scapula,upper-chest|compound,gym|bench-area|free-weights|home,false,false,true,load_x_reps_rpe,dumbbell incline bench press incline db press incline dumbbell press incline db bench press incline dumbbell bench press bench-press dumbbell bench incline-bench upper chest front delts triceps pecs serratus shoulder elbow scapula upper-chest compound gym bench-area free-weights home,
dumbbell-seated-shoulder-press,Dumbbell Seated Shoulder Press,seated db press|dumbbell shoulder press,overhead-press,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell|bench,seated,vertical-push,dynamic,bilateral,false,external,front delts|triceps,lateral delts|upper chest,shoulder|elbow|scapula,dumbbell|overhead,gym,false,false,true,load_x_reps_rpe,dumbbell seated shoulder press seated db press dumbbell shoulder press overhead-press dumbbell bench front delts triceps lateral delts upper chest shoulder elbow scapula dumbbell overhead gym,
dumbbell-arnold-press,Dumbbell Arnold Press,arnold press|dumbbell arnold press,overhead-press,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell|bench,seated,vertical-push,dynamic,bilateral,false,external,front delts|lateral delts|triceps,upper chest,shoulder|elbow|scapula,shoulder-focus,gym|free-weights|home,false,false,true,load_x_reps_rpe,dumbbell arnold press arnold press dumbbell arnold press overhead-press dumbbell bench front delts lateral delts triceps upper chest shoulder elbow scapula shoulder-focus gym free-weights home,
dumbbell-lateral-raise,Dumbbell Lateral Raise,db lateral raise|side raise|Dumbbell Lateral Raise,lateral-raise,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell,standing,shoulder-abduction,dynamic,bilateral,false,external,lateral delts,upper traps|supraspinatus,shoulder|scapula,shoulder-isolation,gym|home|free-weights,false,false,true,load_x_reps_rpe,dumbbell lateral raise db lateral raise side raise dumbbell lateral raise lateral-raise dumbbell lateral delts upper traps supraspinatus shoulder scapula shoulder-isolation gym home free-weights,
dumbbell-rear-delt-fly,Dumbbell Rear Delt Fly,bent over rear delt fly|reverse fly|db reverse fly|rear delt raise|Dumbbell Rear Delt Fly,rear-delt-fly,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell|bench,supported,horizontal-pull|shoulder-horizontal-abduction,dynamic,bilateral,false,external,rear delts|mid back,rhomboids|lower traps,shoulder|scapula,rear-delt|rear-delt-focus,gym|home|free-weights,false,false,true,load_x_reps_rpe,dumbbell rear delt fly bent over rear delt fly reverse fly db reverse fly rear delt raise dumbbell rear delt fly rear-delt-fly dumbbell bench rear delts mid back rhomboids lower traps shoulder scapula rear-delt rear-delt-focus gym home free-weights,
dumbbell-chest-supported-row,Dumbbell Chest-Supported Row,incline db row|seal row dumbbell|incline bench dumbbell row|chest supported db row|Chest-Supported Dumbbell Row,row,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell|bench|incline-bench,supported,horizontal-pull,dynamic,bilateral,false,external,lats|mid back|rear delts,biceps|forearms,shoulder|elbow|scapula,back-thickness|back-focus,gym|free-weights,false,false,true,load_x_reps_rpe,dumbbell chest-supported row incline db row seal row dumbbell incline bench dumbbell row chest supported db row chest-supported dumbbell row row dumbbell bench incline-bench lats mid back rear delts biceps forearms shoulder elbow scapula back-thickness back-focus gym free-weights,
dumbbell-one-arm-row,Dumbbell One-Arm Row,single arm dumbbell row|one hand row,row,unilateral-pair,left_load+right_load+reps+rpe,hypertrophy,dumbbell|bench,supported,horizontal-pull,dynamic,unilateral,false,external,lats|mid back,rear delts|biceps|forearms,shoulder|elbow|scapula,single-arm,gym|home,false,false,true,left_right_load_reps_rpe,dumbbell one-arm row single arm dumbbell row one hand row row dumbbell bench lats mid back rear delts biceps forearms shoulder elbow scapula single-arm gym home,
dumbbell-romanian-deadlift,Dumbbell Romanian Deadlift,db RDL|dumbbell RDL|dumbbell romanian deadlift,hinge,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell,standing,hinge,dynamic,bilateral,false,external,hamstrings|glute max,spinal erectors|forearms,hip|spine|knee,posterior-chain,gym|home|free-weights,false,false,true,load_x_reps_rpe,dumbbell romanian deadlift db rdl dumbbell rdl dumbbell romanian deadlift hinge dumbbell hamstrings glute max spinal erectors forearms hip spine knee posterior-chain gym home free-weights,
dumbbell-single-leg-romanian-deadlift,Dumbbell Single-Leg Romanian Deadlift,single leg RDL|single leg dumbbell RDL,hinge,unilateral-pair,left_load+right_load+reps+rpe,hypertrophy,dumbbell,standing,hinge,dynamic,unilateral,false,external,hamstrings|glute max|glute med,spinal erectors|forearms|core,hip|ankle|spine|knee,balance|single-leg,gym|home,false,false,true,left_right_load_reps_rpe,dumbbell single-leg romanian deadlift single leg rdl single leg dumbbell rdl hinge dumbbell hamstrings glute max glute med spinal erectors forearms core hip ankle spine knee balance single-leg gym home,
goblet-squat,Goblet Squat,dumbbell goblet squat|kb goblet squat|db goblet squat|goblet squat,squat,bilateral-load,load+reps+rpe,hypertrophy,dumbbell|kettlebell,standing,squat,dynamic,bilateral,false,external,quads|glute max|adductors,upper back|core,hip|knee|ankle,front-loaded|beginner-friendly|goblet|joint-friendly,gym|home,false,false,true,load_x_reps_rpe,goblet squat dumbbell goblet squat kb goblet squat db goblet squat goblet squat squat dumbbell kettlebell quads glute max adductors upper back core hip knee ankle front-loaded beginner-friendly goblet joint-friendly gym home,
dumbbell-bulgarian-split-squat,Dumbbell Bulgarian Split Squat,db RFESS|dumbbell rear foot elevated split squat,split-squat,unilateral-pair,left_load+right_load+reps+rpe,hypertrophy,dumbbell|bench,standing,squat,dynamic,unilateral,false,external,quads|glute max|adductors,glute med|hamstrings|core,hip|knee|ankle,single-leg,gym|home,false,false,true,left_right_load_reps_rpe,dumbbell bulgarian split squat db rfess dumbbell rear foot elevated split squat split-squat dumbbell bench quads glute max adductors glute med hamstrings core hip knee ankle single-leg gym home,
dumbbell-walking-lunge,Dumbbell Walking Lunge,db walking lunge|Dumbbell Walking Lunge,lunge,dumbbell-pair,load+reps+rpe,conditioning,dumbbell,standing,squat|locomotion,dynamic,alternating,false,external,quads|glute max|adductors,hamstrings|core|glute med,hip|knee|ankle,single-leg|unilateral,gym|home|free-weights,false,false,true,load_x_reps_rpe,dumbbell walking lunge db walking lunge dumbbell walking lunge lunge dumbbell quads glute max adductors hamstrings core glute med hip knee ankle single-leg unilateral gym home free-weights,
dumbbell-step-up,Dumbbell Step-Up,db step up|db box step up|weighted step up|Dumbbell Step-Up,step-up,unilateral-pair,left_load+right_load+reps+rpe,hypertrophy,dumbbell|box,standing,squat|locomotion,dynamic,unilateral,false,external,quads|glute max,hamstrings|glute med|calves,hip|knee|ankle,single-leg|unilateral,gym|home|free-weights,false,false,true,left_right_load_reps_rpe,dumbbell step-up db step up db box step up weighted step up dumbbell step-up step-up dumbbell box quads glute max hamstrings glute med calves hip knee ankle single-leg unilateral gym home free-weights,
dumbbell-hammer-curl,Dumbbell Hammer Curl,hammer curl|neutral grip curl|dumbbell hammer curl,curl,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell,standing,elbow-flexion,dynamic,bilateral,false,external,brachialis|biceps|brachioradialis,forearms,elbow|wrist,arm-isolation|forearm-focus,gym|home|free-weights,false,false,true,load_x_reps_rpe,dumbbell hammer curl hammer curl neutral grip curl dumbbell hammer curl curl dumbbell brachialis biceps brachioradialis forearms elbow wrist arm-isolation forearm-focus gym home free-weights,
dumbbell-incline-curl,Dumbbell Incline Curl,incline db curl,curl,dumbbell-pair,load+reps+rpe,hypertrophy,dumbbell|bench,incline,elbow-flexion,dynamic,bilateral,false,external,biceps,brachialis|forearms,elbow|shoulder,arm-isolation,gym,false,false,true,load_x_reps_rpe,dumbbell incline curl incline db curl curl dumbbell bench biceps brachialis forearms elbow shoulder arm-isolation gym,
dumbbell-overhead-triceps-extension,Dumbbell Overhead Triceps Extension,db overhead extension,triceps-extension,bilateral-load,load+reps+rpe,hypertrophy,dumbbell,seated,elbow-extension,dynamic,bilateral,false,external,triceps,front delts,elbow|shoulder,arm-isolation,gym|home,false,false,true,load_x_reps_rpe,dumbbell overhead triceps extension db overhead extension triceps-extension dumbbell triceps front delts elbow shoulder arm-isolation gym home,
dumbbell-pullover,Dumbbell Pullover,db pullover|Dumbbell Pullover,pullover,bilateral-load,load+reps+rpe,hypertrophy,dumbbell|bench,lying-supine,shoulder-extension|core-stability,dynamic,bilateral,false,external,lats|pecs|serratus,triceps|upper chest,shoulder|elbow|scapula,ribcage-control|ribcage|serratus,gym|free-weights|home,false,false,true,load_x_reps_rpe,dumbbell pullover db pullover dumbbell pullover pullover dumbbell bench lats pecs serratus triceps upper chest shoulder elbow scapula ribcage-control ribcage serratus gym free-weights home,
dumbbell-renegade-row,Dumbbell Renegade Row,plank row|db plank row,row,unilateral-pair,left_load+right_load+reps+rpe,mixed,dumbbell,plank,horizontal-pull|anti-rotation,dynamic,alternating,true,bodyweight-plus-external,lats|core|obliques,rear delts|triceps|pecs,shoulder|elbow|wrist|spine,anti-rotation,gym|home,false,false,true,left_right_load_reps_rpe,dumbbell renegade row plank row db plank row row dumbbell lats core obliques rear delts triceps pecs shoulder elbow wrist spine anti-rotation gym home,
dumbbell-thruster,Dumbbell Thruster,db thruster|Dumbbell Thruster,thruster,dumbbell-pair,load+reps+rpe,conditioning,dumbbell,standing,squat|vertical-push,mixed,bilateral,false,external,quads|glute max|front delts,triceps|core|calves,hip|knee|ankle|shoulder|elbow,full-body|conditioning|crossfit|overhead,gym|home|free-weights,false,false,true,load_x_reps_rpe,dumbbell thruster db thruster dumbbell thruster thruster dumbbell quads glute max front delts triceps core calves hip knee ankle shoulder elbow full-body conditioning crossfit overhead gym home free-weights,
dumbbell-snatch,Dumbbell Snatch,single arm dumbbell snatch|db power snatch|db snatch|Dumbbell Snatch,snatch,unilateral-pair,left_load+right_load+reps+rpe,strength,dumbbell,standing,hinge|vertical-pull|vertical-push,explosive,unilateral,false,external,glute max|hamstrings|upper back,front delts|traps|core,hip|knee|ankle|shoulder|scapula,explosive|overhead|crossfit|power,gym|home|free-weights,false,false,true,left_right_load_reps_rpe,dumbbell snatch single arm dumbbell snatch db power snatch db snatch dumbbell snatch snatch dumbbell glute max hamstrings upper back front delts traps core hip knee ankle shoulder scapula explosive overhead crossfit power gym home free-weights,
kettlebell-deadlift,Kettlebell Deadlift,KB deadlift,deadlift,bilateral-load,load+reps+rpe,strength,kettlebell,standing,hinge,dynamic,bilateral,false,external,glute max|hamstrings|quads,spinal erectors|forearms,hip|knee|spine,beginner-friendly|hinge,gym|home,false,false,true,load_x_reps_rpe,kettlebell deadlift kb deadlift deadlift kettlebell glute max hamstrings quads spinal erectors forearms hip knee spine beginner-friendly hinge gym home,
kettlebell-swing,Kettlebell Swing,two hand kettlebell swing|KB swing|russian kettlebell swing|russian swing|Kettlebell Swing,swing,bilateral-load,load+reps+rpe,conditioning,kettlebell,standing,hinge,explosive,bilateral,false,external,glute max|hamstrings|spinal erectors,lats|forearms|core,hip|spine|shoulder,explosive|posterior-chain|conditioning,gym|home,false,false,true,load_x_reps_rpe,kettlebell swing two hand kettlebell swing kb swing russian kettlebell swing russian swing kettlebell swing swing kettlebell glute max hamstrings spinal erectors lats forearms core hip spine shoulder explosive posterior-chain conditioning gym home,
one-arm-kettlebell-swing,One-Arm Kettlebell Swing,single arm KB swing,swing,unilateral-pair,left_load+right_load+reps+rpe,conditioning,kettlebell,standing,hinge|anti-rotation,explosive,alternating,false,external,glute max|hamstrings|obliques,lats|forearms|spinal erectors,hip|spine|shoulder,explosive|anti-rotation,gym|home,false,false,true,left_right_load_reps_rpe,one-arm kettlebell swing single arm kb swing swing kettlebell glute max hamstrings obliques lats forearms spinal erectors hip spine shoulder explosive anti-rotation gym home,
kettlebell-clean,Kettlebell Clean,KB clean|single arm kb clean|Kettlebell Clean,clean,unilateral-pair,left_load+right_load+reps+rpe,strength,kettlebell,standing,hinge|vertical-pull,explosive,unilateral,false,external,glute max|hamstrings|upper back,forearms|front delts|core,hip|knee|ankle|shoulder,explosive|rack-position|power|grip,gym|home,false,false,true,left_right_load_reps_rpe,kettlebell clean kb clean single arm kb clean kettlebell clean clean kettlebell glute max hamstrings upper back forearms front delts core hip knee ankle shoulder explosive rack-position power grip gym home,
kettlebell-clean-and-press,Kettlebell Clean and Press,KB clean and press|single arm kb clean and press|Kettlebell Clean and Press,clean-and-press,unilateral-pair,left_load+right_load+reps+rpe,strength,kettlebell,standing,hinge|vertical-push,mixed,unilateral,false,external,front delts|triceps|glute max,hamstrings|upper back|core,hip|knee|ankle|shoulder|elbow,explosive|overhead|power|grip,gym|home,false,false,true,left_right_load_reps_rpe,kettlebell clean and press kb clean and press single arm kb clean and press kettlebell clean and press clean-and-press kettlebell front delts triceps glute max hamstrings upper back core hip knee ankle shoulder elbow explosive overhead power grip gym home,
kettlebell-push-press,Kettlebell Push Press,KB push press,overhead-press,unilateral-pair,left_load+right_load+reps+rpe,strength,kettlebell,standing,vertical-push,mixed,unilateral,false,external,front delts|triceps|quads,glute max|core,hip|knee|ankle|shoulder|elbow,explosive|overhead,gym|home,false,false,true,left_right_load_reps_rpe,kettlebell push press kb push press overhead-press kettlebell front delts triceps quads glute max core hip knee ankle shoulder elbow explosive overhead gym home,
